,all_ratio,developer
13314,54%,Aerosoft GmbH
13315,85%,"Ice-Pick Lodge, General Arcade"
13316,87%,"Gergely Zsolnay, Richard Markos"
13317,56%,Greendev.
13318,78%,Realore
13319,97%,Nihon Falcom
13320,85%,Realmforge Studios
13321,89%,Bulbware
13322,75%,Digital Eel
13323,55%,"Relic Entertainment, Feral Interactive (Mac/Linux)"
13324,75%,Exato Game Studios
13325,95%,rest.less Games
13326,88%,RuneStorm
13327,73%,Dovetail Games
13328,93%,Haemimont Games
13329,100%,Haemimont Games
13330,100%,Haemimont Games
13331,82%,Darkling Room
13332,66%,"no CVT, BlackMuffin"
13333,93%,TERC
13334,53%,
13335,89%,"Zykov Eddy, Xitilon"
13336,100%,"Zykov Eddy, Xitilon"
13337,88%,"KADOKAWA, Yoji Ojima"
13338,77%,KADOKAWA
13339,73%,"Murray Atkinson, Degica"
13340,57%,Oreol
13341,87%,Orange_Juice
13342,92%,RuneStorm
13343,64%,Krealit
13344,52%,Grizzly Wolf Games LLC
13345,38%,Teyon
13346,84%,studiocime
13347,97%,高考恋爱委员会
13348,75%,Snapshot Games Inc.
13349,70%,"Daring Touch, 10th Art Studio"
13350,90%,Julia Games
13351,77%,Princesseuh
13352,94%,"Monochrome, Inc"
13353,52%,Duion
13354,92%,
13355,92%,ElagoTech
13356,69%,Funcom
13357,75%,David Szymanski
13358,100%,Cuddly Zombie Games
13359,88%,Larian Studios
13360,86%,A2A Simulations
13361,62%,Flenx
13362,91%,"Looking Glass Studios, Nightdive Studios"
13363,77%,"Jetdogs Studios, IndeePop"
13364,86%,WarfareSims
13365,63%,Dharker Studio
13366,74%,Dovetail Games
13367,66%,Dovetail Games
13368,100%,DebonosuWorks Inc.
13369,54%,Rising Sun Interactive
13370,92%,Realore
13371,79%,"JMJ Interactive, Mårten Jonsson"
13372,18%,Dreamatrix
13373,92%,"Psyonix, Inc."
13374,27%,Reality Twist GmbH
13375,93%,Realore
13376,73%,Sector3 Studios
13377,58%,Lord Puggington Games
13378,91%,Devespresso Games
13379,30%,PiGravity
13380,81%,Legend Studio
13381,92%,BANDAI NAMCO Studio Inc.
13382,97%,BANDAI NAMCO Studio Inc.
13383,85%,BANDAI NAMCO Studio Inc.
13384,23%,Codemasters
13385,52%,Zoo Corporation
13386,80%,Bread Machine Games
13387,98%,DotEmu
13388,84%,DotEmu
13389,72%,Dreamsite Games
13390,84%,Kyy Games
13391,70%,Dovetail Games
13392,100%,The Men Who Wear Many Hats
13393,62%,Lukas Navratil
13394,85%,Double Damage Games
13395,93%,Nimbly Games
13396,18%,RSK Entertainment
13397,57%,StudioGIW
13398,44%,MAGIX Software GmbH
13399,64%,Realore
13400,33%,Robert Dahlenburg
13401,83%,
13402,94%,"Jackbox Games, Inc."
13403,93%,WayForward
13404,83%,Codename Entertainment Inc.
13405,38%,Kajak Games
13406,75%,Telltale Games
13407,84%,Ion Storm
13408,75%,Switchblade Monkeys Entertainment
13409,93%,"Psyonix, Inc."
13410,91%,Re-Logic
13411,51%,Helsinki Noir
13412,86%,weltenbauer. Software Entwicklung GmbH
13413,81%,Iron Tower Studio
13414,60%,Overflow
13415,98%,Casual Labs
13416,66%,Once More With Gusto
13417,81%,Team Grybanser Fox
13418,63%,Regal Computer Services
13419,96%,Moppin
13420,69%,"Flashback Games, The Lordz Games Studio"
13421,83%,Untame
13422,96%,Free Lives
13423,100%,Free Lives
13424,68%,Schell Games
13425,39%,HandyGames
13426,40%,Piranha Bytes Distribution UG&amp;Co KG
13427,100%,Dreadlocks Ltd.
13428,7%,Individual Software
13429,91%,Alawar Entertainment
13430,78%,HiFi Technologies
13431,72%,Dovetail Games
13432,82%,Dovetail Games
13433,90%,Team Monkey
13434,70%,Great War Team
13435,33%,4Realms
13436,70%,Soccer Manager Ltd
13437,57%,Sapphire Dragon Productions
13438,22%,Archive Entertainment
13439,93%,ALICE IN DISSONANCE
13440,94%,"Studio Work3, Lampert &amp; Sons, Skyboy Games"
13441,87%,
13442,70%,Vovoid Media Technologies AB
13443,94%,ShareX Team
13444,87%,Endless Loop Studios
13445,79%,"David Lawrence, Nico Thomas"
13446,58%,Anarchy Enterprises
13447,69%,McMagic Productions
13448,100%,Greg Lobanov
13449,75%,Big Ant Studios
13450,91%,Fervent
13451,72%,Akakiy Petrushkin
13452,87%,Disparity Games
13453,62%,"Gamieon, Inc."
13454,90%,Sapphire Dragon Productions
13455,93%,"Jagex, Artplant"
13456,61%,Team17 Digital Ltd
13457,72%,4Bit Games
13458,55%,Pencil Test Studios
13459,100%,Triple Lasers
13460,76%,DeanForge
13461,93%,SCS Software
13462,75%,Epic Devs LLC
13463,34%,Space Cat Studios
13464,77%,Snail-Ninja Studio
13465,19%,GameArt Studio GmbH
13466,76%,Digital Concepts
13467,92%,"inkle Ltd, Cape Guy Ltd"
13468,93%,Quarantine Interactive
13469,75%,"INTI CREATES CO., LTD."
13470,73%,
13471,67%,Aratog LLC
13472,87%,Juicy Beast
13473,80%,Thunder Lotus Games
13474,44%,Limbic Entertainment
13475,72%,Mommy's Best Games
13476,84%,Golden Ruby Games
13477,63%,CAT IN JAR GAMES
13478,95%,Alawar Entertainment
13479,75%,Alawar Entertainment
13480,90%,
13481,73%,Targhen Games
13482,90%,ColePowered Games
13483,61%,InImages
13484,70%,Anarchy Enterprises
13485,44%,Forbes Consult Ltd
13486,60%,FarmerGnome
13487,88%,"AlPixel Games, Luis Diaz, Gustavo Santos, Albert Fernandez, Tice Thomason"
13488,76%,Lazy Turtle Games
13489,86%,Colossal Order Ltd.
13490,52%,Cliffhanger Productions
13491,83%,"Erik Svedäng, El Huervo / Niklas Åkerblad, Tobias Sjögren, Oscar ""Ratvader"" Rydelius, Johannes Gotlén"
13492,72%,Spilt Milk Studios Ltd
13493,89%,Nerdook Productions
13494,100%,Hunter Hamster
13495,78%,Gambrinous
13496,55%,"World-Loom, The House of Fables"
13497,78%,JoyBits Ltd.
13498,80%,
13499,89%,FIVE-BN GAMES
13500,86%,"KOEI TECMO GAMES CO., LTD."
13501,97%,Self Made Miracle
13502,69%,Cyanide Studios
13503,63%,Satur Entertainment
13504,84%,Killer Teapot Games
13505,91%,Great War Team
13506,59%,Skyshine Games
13507,85%,WarGirl Games
13508,46%,Pixel Blitz Studios
13509,88%,"Alexey Davydov, Sergey Dvoynikov, Timofey Shargorodskiy"
13510,93%,Hanako Games
13511,50%,"Rafael Barreto, MacKenzie Kaser"
13512,18%,Urbanscan
13513,69%,Cats Who Play
13514,72%,Deck13
13515,92%,SRF Games
13516,64%,Racing Bros
13517,63%,Shenandoah Studio
13518,75%,Anvil-Soft
13519,62%,Dovetail Games
13520,57%,Warballoon
13521,38%,Handyman Studios
13522,90%,"Fernando Ramallo, David Kanaga"
13523,48%,PiGravity
13524,88%,Fancy Fish Games
13525,70%,Pigasus Games
13526,92%,The Future Of Videogames
13527,69%,Days of Wonder
13528,83%,Krome Studios
13529,57%,Orbx
13530,94%,ProjectorGames
13531,63%,Dlala Studios
13532,95%,tobyfox
13533,87%,CREATIVE ASSEMBLY
13534,98%,ALICE IN DISSONANCE
13535,71%,Hammerfall Publishing
13536,72%,OMNIDREAM CREATIONS SRL
13537,93%,Kenny Sun
13538,76%,Star Gem Inc.
13539,72%,Star Gem Inc.
13540,64%,Two Desperados
13541,42%,Fivang
13542,90%,MDNA Games
13543,93%,Klonk Games
13544,40%,TakeFlight Interactive
13545,78%,A2A Simulations
13546,60%,ENKSoft
13547,70%,Milestone S.r.l.
13548,94%,Asteroid Base
13549,75%,Golden Gear Games
13550,86%,Kraftix Games
13551,71%,Triangle Studios
13552,25%,HB Studios
13553,56%,Cleverweek
13554,48%,Omega Point Games
13555,86%,Clewcat Games
13556,82%,Entity Medialab
13557,60%,DQ Team
13558,93%,Rake in Grass
13559,82%,Crank Goblin
13560,82%,Choice of Games
13561,50%,Warfare Studios
13562,6%,Phanom Games
13563,65%,Lucas Molina
13564,40%,Fun Infused Games
13565,81%,League of Geeks
13566,89%,
13567,83%,"KOEI TECMO GAMES CO., LTD."
13568,82%,Daniel Spruce
13569,100%,"Jurlo, JetPackGone"
13570,81%,Trav Nash
13571,92%,Abbey Games
13572,58%,Dovetail Games
13573,60%,Eugen Systems
13574,76%,AMPLITUDE Studios
13575,91%,Studio Eres
13576,88%,Yai Gameworks
13577,33%,Markus Fick
13578,35%,TBDTS Games
13579,67%,Interactive Stone
13580,69%,Ivanovich Games
13581,41%,Xiotex Studios Ltd
13582,78%,THE BROTHERHOOD
13583,100%,"Bradley Elam, Colton Bone"
13584,74%,Longbow Games
13585,85%,Skilltree Studios
13586,83%,Hexdragonal Games
13587,59%,WARTEAM
13588,93%,"Idea Factory, Design Factory"
13589,15%,Seattletek
13590,62%,Phosphor Games
13591,72%,AKGames
13592,62%,AKGames
13593,32%,Z-Software
13594,94%,Studio Evil
13595,82%,Matthew Brown
13596,73%,Games Farm
13597,71%,Black Forest Games
13598,90%,Wesley LaFerriere
13599,94%,Huebotics
13600,91%,"Alawar Stargaze, Alawar Entertainment"
13601,50%,Icy Donut
13602,63%,Tuomo Laine
13603,60%,Johannes Eski
13604,39%,Digital Furnace Games
13605,100%,Slightly Mad Studios
13606,74%,Twice Circled
13607,76%,Just Trains
13608,88%,Teeworlds Team
13609,90%,Cococucumber
13610,94%,CCCP
13611,71%,Wojciech Krupinski
13612,46%,"gord10, Aslan Game Studio"
13613,67%,Scorpius Games
13614,90%,"GAME ARTS Co., Ltd., SkyBox Labs"
13615,35%,Skatanic Studios
13616,95%,Messhof
13617,54%,"Nine Tales Digital, Bolt Creative"
13618,90%,"Zoe Vartanian, Badru, Isa Hutchinson, Michael Bell"
13619,38%,Elev8 Games
13620,78%,Dovetail Games
13621,65%,Funatics Software
13622,70%,Stone Monkey Studios
13623,92%,Cyber Rhino Studios
13624,31%,VooFoo Studios
13625,75%,Morgondag
13626,90%,Crystice Softworks
13627,67%,Frozenbyte
13628,63%,"New Bridge Games, Alawar Entertainment"
13629,84%,Harebrained Schemes
13630,93%,Harebrained Schemes
13631,45%,The Light Sword Team
13632,48%,Crian Soft
13633,66%,Humongous Entertainment
13634,87%,Humongous Entertainment
13635,66%,Panda Indie Studio
13636,98%,The SKSE Team
13637,92%,Team Fractal Alligator
13638,87%,Sapphire Dragon Productions
13639,92%,DanielDavisGames
13640,54%,"Psyonix, Inc."
13641,95%,"Psyonix, Inc."
13642,85%,Origin8 Technologies Ltd
13643,72%,"Byzantine Games, The Lordz Games Studio"
13644,55%,Skobbejak Games
13645,91%,A Stranger Gravity
13646,90%,Walter Machado
13647,81%,Chicago &amp; Southwest Productions
13648,87%,Iced Lizard Games
13649,80%,FSDG Online
13650,91%,Turtle Sandbox LLC
13651,64%,Onipunks Studio Inc.
13652,93%,"OhNoo Studio, Smile"
13653,15%,Silden
13654,86%,Pixel Lantern
13655,80%,"Fancy Bytes, Reactor"
13656,51%,Cleverweek
13657,63%,Dharker Studio
13658,55%,Stardock Entertainment
13659,47%,DDD Wares
13660,82%,Cross-Product
13661,47%,Fancy Fish Games
13662,87%,ebi-hime
13663,54%,Zoo Corporation
13664,23%,
13665,45%,Serious Games Interactive
13666,90%,
13667,82%,Eleon Game Studios
13668,87%,ZackBellGames
13669,64%,Lost Spell
13670,61%,Wulo Games
13671,88%,
13672,94%,Bacon Bandit Games
13673,76%,Milepost Simulations
13674,70%,Realmforge Studios
13675,51%,OMNIDREAM CREATIONS
13676,81%,Bread Vision Studios LLC.
13677,87%,Tiger Style
13678,0%,khos85
13679,73%,Tin Man Games
13680,97%,Kumobius
13681,73%,Uppercut Games Pty Ltd
13682,97%,Frontwing
13683,96%,Frontwing
13684,84%,Winged Cloud
13685,84%,Winged Cloud
13686,87%,Winged Cloud
13687,100%,Winged Cloud
13688,95%,Winged Cloud
13689,95%,Winged Cloud
13690,10%,Cemil Tasdemir
13691,92%,roseVeRte
13692,76%,iconical Ltd.
13693,38%,quad games
13694,72%,Galaxy Gate
13695,62%,
13696,75%,Russpuppy
13697,68%,RunServer
13698,42%,RosePortal Games
13699,86%,FreakZone Games
13700,45%,Warfare Studios
13701,89%,Luis Ruiz
13702,53%,Pocket Queries
13703,61%,Tangrin Entertainment
13704,88%,The Odd Gentlemen
13705,94%,The Odd Gentlemen
13706,82%,2DEngine
13707,75%,4-Panel Footprint
13708,63%,Eutechnyx
13709,50%,Eutechnyx
13710,90%,
13711,88%,Flippfly LLC
13712,64%,Never Don't Play
13713,32%,Evergreen
13714,71%,"KAIKO, Neon Studios"
13715,77%,Zoo Corporation
13716,100%,Lag Studios
13717,70%,Wicked Witch Software
13718,31%,ZeroBit Games
13719,20%,
13720,88%,"Sports Mogul, Inc."
13721,78%,Dark Gaia Studios
13722,31%,Overcloud9
13723,50%,Ragiva Games e.K.
13724,77%,Nonlinear
13725,44%,Stereo7 Games
13726,73%,Bits &amp; Beasts
13727,64%,Acquire Corp.
13728,88%,bitHuffel
13729,92%,Tap It Games
13730,92%,Looking Glass Studios
13731,88%,Proton Studio Inc
13732,79%,Somi
13733,7%,Electric Rune
13734,64%,A Crowd of Monsters
13735,94%,Croteam
13736,76%,Paleozoic
13737,82%,Aniode
13738,31%,ArtemizGame
13739,28%,Dovetail Games
13740,47%,Dovetail Games
13741,81%,"AndrewMD5, Codeusa"
13742,81%,"KOEI TECMO GAMES CO., LTD."
13743,98%,CD PROJEKT RED
13744,34%,KITATUS STUDIOS
13745,20%,Appsolutely Studios
13746,83%,Tchagata Games
13747,66%,Roppy Chop Studios
13748,64%,Great War Team
13749,100%,
13750,92%,
13751,76%,Krutovig
13752,98%,Slightly Mad Studios
13753,60%,Yang Sun
13754,86%,Frozen Orb
13755,100%,GAME FREAK
13756,88%,Slightly Mad Studios
13757,96%,Spicy Tails
13758,75%,Homph
13759,92%,girl software
13760,60%,"Jarbit, Castle art by Yuriy Gusev"
13761,100%,Team Junkfish
13762,92%,Duckbridge
13763,50%,Psikyo
13764,89%,CD PROJEKT RED
13765,72%,Raven Travel Studios
13766,97%,Zachtronics
13767,80%,Anarchy Enterprises
13768,63%,Igry.ru
13769,39%,MobileBits
13770,79%,Studio Paint
13771,83%,"DQ Team, Hidden Hallow Studio"
13772,89%,Alice &amp; Smith
13773,88%,Choice of Games
13774,86%,Hesketh Studios Ltd
13775,79%,EyeSpyda Games
13776,56%,Coldrice Games LLC
13777,53%,Forge Reply srl
13778,37%,AOS GAME
13779,92%,Mango Protocol
13780,76%,Duckbridge
13781,43%,Wild Wolf Std
13782,59%,Blaze Epic
13783,61%,Studio Nyx
13784,74%,Astronomic Games
13785,100%,
13786,89%,Studio Bean
13787,54%,Team17 Digital Ltd
13788,68%,Soccer Manager Ltd
13789,50%,
13790,80%,Decane
13791,73%,Axis Games
13792,97%,Freehold Games
13793,60%,Orphic Software
13794,94%,JoyMasher
13795,73%,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev"
13796,53%,Dev Arc
13797,94%,Pixel Ferrets
13798,93%,Pixel Ferrets
13799,72%,Daylight Studios
13800,86%,Blue Manchu
13801,100%,Pixel Ferrets
13802,84%,KADOKAWA
13803,58%,Psikyo
13804,84%,Unwonted Studios
13805,79%,SoftWeir Inc.
13806,70%,Konsordo
13807,82%,PillowPigGames
13808,81%,Alabeo
13809,100%,Carenado
13810,37%,Reventador Games
13811,73%,Paradox Development Studio
13812,42%,
13813,73%,Midian Design
13814,85%,"Chu-3, Bakufu Narayama"
13815,57%,ODD Games
13816,76%,Juri Schupilo
13817,75%,Aldorlea Games
13818,66%,"Ste Curran, Twistplay"
13819,91%,i273 LLC
13820,91%,"Artur Games, Music by Darkman007"
13821,83%,"Artur Games, Music by Darkman007"
13822,83%,"Cole Neumann, Albin Bernhardsson"
13823,90%,Question
13824,91%,Question
13825,60%,Stardock Entertainment
13826,89%,Bento-Studio
13827,92%,2by3 Games
13828,77%,Trion Worlds
13829,91%,
13830,76%,Trion Worlds
13831,76%,Ironward
13832,65%,Gatling Goat Studios
13833,45%,Scarab Entertainment
13834,79%,Codex Worlds
13835,53%,Tap To Win
13836,50%,SIM720
13837,84%,Thomson Interactive
13838,72%,
13839,86%,Massive Entertainment
13840,82%,Massive Entertainment
13841,46%,JDM4iK
13842,72%,YFC games
13843,90%,Ronimo Games
13844,25%,Flight Systems LLC
13845,52%,ASBO Interactive
13846,92%,"Maciej Targoni, Wojciech Wasiak"
13847,15%,Undead Yeti Software
13848,64%,John Wizard
13849,59%,Alister Software
13850,13%,Gamestarters
13851,70%,Yatagarasu Dev Team
13852,82%,Holotech Studios
13853,82%,Random Seed Games
13854,92%,stage-nana
13855,77%,Blaze Epic
13856,80%,Panic Ensues Software
13857,71%,Cornbread Juice Games
13858,54%,Urbanscan
13859,94%,
13860,95%,"Victor Solodilov, Denis Novikov"
13861,77%,Aterdux Entertainment
13862,56%,TimeSymmetry
13863,88%,NotGames
13864,70%,Sometimes You
13865,68%,VaragtP
13866,84%,"Acceleroto, Inc."
13867,87%,"Virgin Interactive Entertainment, PriitK"
13868,68%,Nerial
13869,80%,
13870,78%,
13871,42%,REEW GAMES
13872,72%,Viperante
13873,89%,Alawar Entertainment
13874,80%,Victory Works
13875,54%,Eko Software
13876,95%,"Gremlin Interactive, Interplay Entertainment"
13877,87%,"Jackbox Games, Inc."
13878,73%,Tomasz Wacławek
13879,69%,Stephen Crabb
13880,90%,Mouldy Toof Studios
13881,76%,Estudio Raed Wulf
13882,29%,Sasha Darko
13883,93%,Zachtronics
13884,70%,New State
13885,90%,aiueoKompany
13886,47%,PlazSoft
13887,73%,Proteus Pixel
13888,86%,Urbanscan
13889,60%,PIXOWL INC.
13890,19%,UD
13891,88%,Giants Software
13892,90%,Jae Lee Productions
13893,81%,CREATIVE ASSEMBLY
13894,65%,CREATIVE ASSEMBLY
13895,69%,CREATIVE ASSEMBLY
13896,70%,Triskell Interactive
13897,92%,WayForward
13898,90%,DotEmu
13899,72%,Dwarves Might Fly
13900,66%,"KOEI TECMO GAMES CO., LTD."
13901,75%,"KOEI TECMO GAMES CO., LTD."
13902,65%,"KOEI TECMO GAMES CO., LTD."
13903,83%,Jake Huhman
13904,73%,Travian Games GmbH
13905,69%,InImages
13906,70%,
13907,27%,"Fancy Bytes, Reactor"
13908,100%,Kieffer Bros.
13909,95%,Guard Crush Games
13910,88%,Capribyte Studios
13911,50%,"John Szymanski, Evan Szymanski, David Szymanski"
13912,91%,Onni Interactive
13913,63%,Jae Lee Productions
13914,95%,Prism Game Studios Ltd.
13915,97%,Prism Studios
13916,56%,Haemimont Games
13917,94%,"Wisdom Tree, Inc."
13918,56%,TEAM101
13919,50%,LW Games
13920,72%,Milestone S.r.l.
13921,73%,
13922,29%,Black Lime Studio
13923,90%,Sam Barlow
13924,86%,PestoForce
13925,97%,Red Dwarf Games
13926,91%,Alabeo
13927,86%,Dovetail Games
13928,74%,Split Polygon
13929,89%,Turning Wheel LLC
13930,73%,Matt Gadient
13931,94%,Radical Fish Games
13932,87%,"Red Dot Games, PlayWay S. A."
13933,95%,CD PROJEKT RED
13934,84%,CD PROJEKT RED
13935,81%,i273 LLC
13936,73%,"Alexey Davydov, Sergey Dvoynikov, Timofey Shargorodskiy"
13937,97%,Holy Priest
13938,57%,Cyanide Studio
13939,70%,
13940,65%,Evallis Entertainment
13941,65%,Alternative Software Ltd
13942,45%,PlayWay SA
13943,39%,Silden
13944,59%,Axel Shokk
13945,27%,Dolores Entertainment
13946,66%,"TT Games Ltd, Feral Interactive (Mac)"
13947,100%,Orange_Juice
13948,53%,"TT Games Ltd, Feral Interactive (Mac)"
13949,73%,"TT Games Ltd, Feral Interactive (Mac)"
13950,28%,Master Technologies
13951,72%,Bulwark Studios
13952,48%,Technomancy Studios
13953,33%,"TigerNDV, NinjaISV"
13954,29%,Team6 game studios B.V.
13955,100%,Ronimo Games
13956,85%,Little Green Men Games
13957,69%,Formosoft International
13958,83%,Brace Yourself Games
13959,73%,reiti.net
13960,68%,Novaq Games
13961,24%,Pure FPS
13962,68%,Major Games
13963,90%,Gnarled Scar Manipulations
13964,69%,IMGN.PRO
13965,95%,CD PROJEKT RED
13966,96%,CD PROJEKT RED
13967,90%,Slightly Mad Studios
13968,70%,Zojoi
13969,66%,Zojoi
13970,57%,Zojoi
13971,95%,Kittehface Software
13972,80%,Nussoft
13973,94%,Slightly Mad Studios
13974,81%,DIMPS
13975,70%,Woodsy Studio
13976,60%,Paradox Development Studio
13977,78%,Paradox Interactive
13978,51%,Paradox Development Studio
13979,55%,"Vertex Games, S.C."
13980,91%,"Soloweb Studios, Ravens Eye Studio"
13981,47%,"TREND, Softpro"
13982,83%,Frontier Works
13983,88%,Vexed Enigma
13984,91%,InterAction studios
13985,76%,"Elias Viglione, Jussi Kukkonen"
13986,67%,VaragtP
13987,56%,"Dragonfly GF Co., LTD"
13988,42%,VoxelStorm
13989,80%,Stroboskop
13990,42%,Nuligine
13991,96%,Hosted Games
13992,79%,Berserk Games
13993,93%,
13994,90%,"Jetdogs Studios, Zoom Out Games"
13995,39%,D-Games
13996,88%,TRIANGLE SERVICE
13997,66%,Ozzie Sneddon
13998,73%,Binary Fortress Software
13999,35%,Forever Entertainment S. A.
14000,85%,WayForward
14001,58%,Digitalmindsoft
14002,60%,Spectral Games
14003,96%,CD PROJEKT RED
14004,54%,Fragment Production Ltd.
14005,50%,Guerrilla Bandit
14006,90%,dustinaux
14007,50%,Mystik'Art
14008,100%,Lionheart Creations
14009,88%,Purple Nebula
14010,60%,Xtase Studios
14011,34%,practicing01
14012,39%,Dima Kiva
14013,65%,T3 Entertainment
14014,85%,"Jundroo, LLC"
14015,88%,TicToc Games
14016,41%,Mint Age Studios
14017,69%,Smyowl
14018,76%,Black Lab Games
14019,81%,Creoteam
14020,95%,ASTRO PORT
14021,60%,Himalaya Studios
14022,50%,Playtap Games
14023,63%,MAGIX Software GmbH
14024,50%,ToMorning Productions
14025,92%,"Tiny Colossus, Ciro Continisio"
14026,88%,Flump Studios
14027,81%,Aurelien Regard
14028,88%,BeamNG
14029,93%,House On Fire
14030,37%,BBQ Games
14031,64%,Lionheart Creations
14032,87%,Retronic Games
14033,86%,"Northway Games, Sarah Northway"
14034,91%,Winged Cloud
14035,84%,
14036,94%,"高考恋爱委员会, 橘子班"
14037,50%,MobileBits
14038,85%,10tons Ltd
14039,17%,Dylan Fitterer
14040,68%,HKFiftyOne Games
14041,84%,Frogmind
14042,89%,Frogmind
14043,87%,ACQUIRE Corp.
14044,81%,"YOTSUBANE, Adventure Planning Service"
14045,92%,MAGES. Inc.
14046,66%,Sebastien Bini
14047,82%,
14048,79%,
14049,76%,ISOTX
14050,90%,8Floor
14051,82%,Solest Games
14052,80%,desunoya
14053,40%,Dreamatrix
14054,26%,DropDGames
14055,92%,Arc System Works
14056,67%,oddonegames
14057,70%,Black Lime Studio
14058,62%,Zeritum
14059,87%,Pixel Prophecy
14060,86%,Zandel Media
14061,66%,Tale of Tales
14062,85%,Monogon Games
14063,96%,Technocrat Games
14064,100%,
14065,65%,SOF Studios Ltd
14066,100%,Ubisoft - San Francisco
14067,73%,The Game Creators
14068,76%,Just Flight
14069,83%,Muzzy Lane Software
14070,36%,Mission Aware Technologies
14071,99%,CD PROJEKT RED
14072,94%,Creepy Cute
14073,95%,CD PROJEKT RED
14074,93%,CD PROJEKT RED
14075,91%,Evan Todd
14076,36%,devotid
14077,67%,"Dragonfly GF Co., LTD"
14078,61%,"Dragonfly GF Co., LTD"
14079,77%,"Dragonfly GF Co., LTD"
14080,78%,Stolen Couch Games
14081,92%,Klei Entertainment
14082,93%,PixelNAUTS
14083,87%,Fair Play Labs
14084,88%,Creatio 49
14085,91%,Tin Man Games
14086,34%,AGC
14087,75%,David Wehle
14088,36%,Visual Imagination Software GbR
14089,75%,Aerosoft GmbH
14090,92%,FireFly Studios
14091,89%,Playsaurus
14092,61%,Fernando Paulo
14093,100%,Dovetail Games
14094,64%,vikingfabian.com
14095,58%,[geim].pro
14096,87%,Roll7
14097,61%,Matrix Games
14098,94%,Thomas Happ Games LLC
14099,98%,Fallen Tree Games Ltd
14100,92%,RAC7 Games
14101,72%,Drixy Games
14102,93%,Peltast Software
14103,60%,Square Enix
14104,75%,Carmine T. Guida
14105,100%,Double Fine Productions
14106,74%,Basecamp Games
14107,88%,David Szymanski
14108,56%,Just Trains
14109,62%,Totem Studio
14110,86%,Great War Team
14111,92%,"Barnyard Intelligence Games, Crystal Labs"
14112,63%,Jochen Mistiaen
14113,98%,SCS Software
14114,88%,SCS Software
14115,97%,SCS Software
14116,54%,Nival
14117,83%,One Legged Seagull
14118,50%,"Jeroen van Oosten, Milan Kazarka"
